Stations-Kennziffer,Klima-Kennung,ICAO-Kennung,Stationsname,Stationshoehe_in_Metern,lat,lon,Beginn_Klimareihe,retper25,class25,retper30,class30,retper35,class35,retpermax
10501,2205,NA,Aachen,202,50.47,6.05,1891,0.4511708,0.3,2.271689,2,19.88106,15,260.5937
10291,3058,NA,Angermünde,54,53.01,13.59,1947,0.8385885,0.5,3.972582,3,29.45617,35,79.72121
10091,3005,NA,Arkona,42,54.4,13.26,1947,0.1786109,0.3,0.6263363,2,2.65792,5,1671.624
10852,4128,EDMA,Augsburg,462,48.25,10.56,1947,0.740694,0.5,3.98287,3,41.33335,45,75.34197
10382,3313,EDDT,Berlin-Tegel,36,52.33,13.18,1963,1.476107,1,8.935234,6,79.20586,65,39.16312
10384,3316,EDDI,Berlin-Tempelhof,49,52.28,13.24,1948,0.8872695,0.5,5.236125,3,52.22955,45,90.88521
10224,1474,EDDW,Bremen,5,53.02,8.47,1890,0.7382954,0.5,3.027247,3,15.15013,15,240.6044
10131,1478,NA,Cuxhaven,5,53.52,8.42,1946,0.2617142,0.3,0.8997217,2,3.519473,5,90.60904
10488,3386,EDDC,Dresden-Klotzsche,227,51.07,13.45,1967,0.7818449,0.5,3.997395,3,32.69911,35,1354.941
10400,1192,EDDL,Düsseldorf,37,51.17,6.46,1969,0.5297153,0.5,2.655282,3,18.45566,15,248.5924
10554,4200,EDDE,Erfurt-Weimar,316,50.59,10.57,1951,0.8496695,0.5,4.373135,3,31.60834,35,2526.247
10055,3835,NA,Fehmarn,3,54.31,11.03,1948,0.2588424,0.3,1.003913,2,4.643035,5,39.69974
10908,2320,NA,Feldberg/Schwarzwald,1490,47.52,8,1945,0.04873267,0.3,0.09033305,2,0.1837934,5,68.93579
10578,4428,NA,Fichtelberg,1213,50.25,12.57,1947,0.06155698,0.3,0.1301615,2,0.3063897,5,1965.995
10637,2640,EDDF,Frankfurt/Main,112,50.02,8.35,1949,1.618352,1,9.830619,6,69.28321,65,104.4599
10815,2751,NA,Freudenstadt,797,48.27,8.24,1949,0.6518397,0.5,3.421743,3,35.85392,35,92.43692
10895,4890,NA,Fürstenzell,476,48.32,13.21,1997,0.4586035,0.3,1.849671,2,10.56824,15,30.70446
10567,4406,NA,Gera-Leumnitz,311,50.52,12.07,1952,0.5756215,0.5,2.203042,2,9.620911,5,144.4131
10532,2609,NA,Gießen/Wettenberg,203,50.36,8.39,1939,0.7220261,0.5,3.979098,3,37.23531,35,157.8512
10499,3380,EDBX,Görlitz,238,51.09,14.57,1947,0.3603842,0.3,1.541073,2,10.07696,5,143.8118
10184,3016,NA,Greifswald,2,54.05,13.24,1947,0.8528992,0.5,4.147978,3,37.94936,35,156.023
10791,4489,NA,Großer Arber,1436,49.06,13.08,1982,0.07151061,0.3,0.1980474,2,0.577701,5,11336.17
10616,2020,EDFH,Hahn,497,49.56,7.15,1997,0.8341495,0.3,4.561484,3,35.11181,35,32.08966
10147,1459,EDDH,Hamburg-Fuhlsbüttel,11,53.38,9.59,1891,1.260451,1,6.3461,6,35.49634,35,159.1475
