Mess_Datum,Qualitaets_Niveau,BEDECKUNGSGRAD,REL_FEUCHTE,DAMPFDRUCK,LUFTTEMPERATUR,LUFTDRUCK_STATIONSHOEHE,WINDGESCHWINDIGKEIT,LUFTTEMP_AM_ERDB_MINIMUM,LUFTTEMPERATUR_MINIMUM,LUFTTEMPERATUR_MAXIMUM,WINDSPITZE_MAXIMUM,NIEDERSCHLAGSHOEHE_IND,NIEDERSCHLAGSHOEHE,SONNENSCHEINDAUER,SCHNEEHOEHE
19490101,5,6.7,52.0,4.1,4.1,904.7,-999.0,-5.1,-1.4,5.4,-999.0,8,12.0,-999.0,6
19490102,5,8.0,97.0,6.0,0.0,913.9,-999.0,-1.8,-0.2,5.4,-999.0,7,15.1,-999.0,14
19490103,5,3.7,89.0,5.5,-0.1,917.1,-999.0,-0.4,-1.2,2.0,-999.0,0,0.0,-999.0,24
19490104,5,4.7,83.0,4.7,-1.2,923.4,-999.0,-4.3,-2.0,0.8,-999.0,7,0.0,-999.0,23
19490105,5,7.7,89.0,6.1,1.6,932.8,-999.0,-6.0,-2.4,3.7,-999.0,0,0.0,-999.0,20
19490106,5,0.3,90.0,5.7,0.2,943.4,-999.0,-8.2,-1.7,5.5,-999.0,0,0.0,-999.0,20
19490107,5,0.0,62.0,4.1,1.3,939.4,-999.0,-8.3,-1.7,5.4,-999.0,0,0.0,-999.0,18
19490108,5,4.7,93.0,4.5,-2.9,927.2,-999.0,-5.4,-5.4,1.0,-999.0,8,0.1,-999.0,18
19490109,5,4.3,80.0,3.7,-4.4,929.5,-999.0,-4.6,-6.4,-1.2,-999.0,7,0.0,-999.0,18
19490110,5,8.0,93.0,4.1,-4.7,929.2,-999.0,-10.0,-6.8,-3.4,-999.0,0,0.0,-999.0,18
19490111,5,4.0,77.0,3.2,-5.0,923.6,-999.0,-12.8,-9.0,-2.0,-999.0,7,1.3,-999.0,18
19490112,5,6.0,93.0,4.4,-3.5,925.8,-999.0,-6.9,-5.4,-2.2,-999.0,7,6.2,-999.0,21
19490113,5,4.7,90.0,4.0,-5.0,939.9,-999.0,-9.7,-6.9,-1.8,-999.0,7,0.0,-999.0,30
19490114,5,7.3,91.0,4.7,-2.0,937.5,-999.0,-12.3,-7.4,-0.4,-999.0,8,8.1,-999.0,29
19490115,5,8.0,92.0,5.6,-0.1,932.4,-999.0,-1.0,-0.6,0.6,-999.0,8,3.5,-999.0,33
19490116,5,8.0,92.0,6.5,2.3,926.7,-999.0,-1.1,-1.4,4.0,-999.0,8,6.1,-999.0,32
19490117,5,8.0,96.0,6.4,1.3,929.1,-999.0,0.0,0.2,3.0,-999.0,8,18.5,-999.0,15
19490118,5,8.0,95.0,7.1,2.6,931.6,-999.0,-0.2,0.6,3.0,-999.0,1,7.1,-999.0,13
19490119,5,8.0,94.0,7.3,3.2,932.4,-999.0,1.0,2.6,4.8,-999.0,1,0.1,-999.0,5
19490120,5,8.0,88.0,6.3,2.1,930.6,-999.0,-0.3,1.3,3.0,-999.0,1,9.3,-999.0,0
19490121,5,7.7,89.0,5.6,0.6,927.2,-999.0,-0.4,-0.5,2.3,-999.0,8,21.0,-999.0,0
19490122,5,4.0,94.0,5.1,-2.2,934.2,-999.0,-1.2,-4.0,0.8,-999.0,7,3.2,-999.0,16
19490123,5,0.0,90.0,4.3,-4.0,936.6,-999.0,-12.2,-6.1,0.5,-999.0,0,0.0,-999.0,18
19490124,5,1.3,79.0,5.6,1.8,936.7,-999.0,-12.9,-6.2,4.6,-999.0,0,0.0,-999.0,16
19490125,5,1.7,91.0,5.5,-0.9,939.5,-999.0,-7.4,-2.4,2.3,-999.0,0,0.0,-999.0,14
19490126,5,0.0,73.0,4.9,1.6,942.0,-999.0,-6.7,-4.4,9.4,-999.0,0,0.0,-999.0,10
19490127,5,0.3,62.0,4.7,2.8,943.0,-999.0,-9.4,-0.6,7.4,-999.0,0,0.0,-999.0,9
19490128,5,2.7,39.0,3.1,3.2,945.0,-999.0,-9.1,0.0,11.2,-999.0,0,0.0,-999.0,6
19490129,5,1.0,37.0,3.1,4.0,946.8,-999.0,-10.0,-2.0,10.9,-999.0,0,0.0,-999.0,4
19490130,5,3.7,57.0,3.7,0.8,943.9,-999.0,-8.9,-2.6,8.2,-999.0,0,0.0,-999.0,3
19490131,5,8.0,89.0,4.8,-1.8,939.1,-999.0,-9.5,-4.0,-0.1,-999.0,7,1.9,-999.0,3
19490201,5,5.0,81.0,3.6,-5.2,934.6,-999.0,-6.7,-6.8,-1.5,-999.0,7,0.3,-999.0,5
19490202,5,4.7,85.0,2.7,-9.5,942.7,-999.0,-15.2,-11.0,-6.2,-999.0,7,0.3,-999.0,4
19490203,5,0.0,75.0,2.3,-9.2,944.0,-999.0,-18.4,-13.4,-5.2,-999.0,0,0.0,-999.0,5
19490204,5,0.0,58.0,2.3,-4.9,942.0,-999.0,-18.4,-11.4,0.3,-999.0,0,0.0,-999.0,5
19490205,5,1.0,54.0,2.8,-1.7,938.2,-999.0,-14.1,-5.0,6.0,-999.0,0,0.0,-999.0,5
19490206,5,3.7,93.0,4.3,-4.3,938.3,-999.0,-15.5,-6.4,1.8,-999.0,0,0.0,-999.0,5
19490207,5,0.3,54.0,4.0,2.5,938.3,-999.0,-15.2,-6.4,6.8,-999.0,0,0.0,-999.0,5
19490208,5,6.7,73.0,5.7,3.5,935.4,-999.0,-7.2,0.9,6.5,-999.0,1,1.7,-999.0,4
19490209,5,8.0,84.0,7.5,6.0,927.4,-999.0,-1.5,0.9,8.5,-999.0,8,12.8,-999.0,3
19490210,5,5.7,90.0,4.9,-1.4,931.0,-999.0,-5.2,-2.5,8.5,-999.0,7,0.4,-999.0,6
19490211,5,2.7,87.0,4.3,-3.1,930.8,-999.0,-11.5,-4.2,0.9,-999.0,0,0.0,-999.0,5
19490212,5,6.0,80.0,4.1,-2.2,927.6,-999.0,-10.8,-5.8,3.0,-999.0,7,3.0,-999.0,4
19490213,5,4.7,88.0,4.4,-3.3,929.6,-999.0,-6.3,-4.8,1.0,-999.0,7,0.4,-999.0,6
19490214,5,1.0,84.0,4.3,-2.6,936.8,-999.0,-15.0,-7.6,3.0,-999.0,0,0.0,-999.0,4
19490215,5,2.0,80.0,5.1,0.6,941.8,-999.0,-10.0,-3.4,5.8,-999.0,0,0.0,-999.0,3
19490216,5,1.0,80.0,5.7,2.0,940.3,-999.0,-6.2,-1.8,6.8,-999.0,0,0.0,-999.0,0
19490217,5,0.3,54.0,4.8,4.8,937.2,-999.0,-5.5,-1.5,11.8,-999.0,0,0.0,-999.0,0
19490218,5,3.7,50.0,4.3,4.9,934.2,-999.0,1.0,1.4,11.0,-999.0,0,0.0,-999.0,0
19490219,5,3.0,54.0,5.5,7.1,937.0,-999.0,-1.8,2.4,11.6,-999.0,0,0.0,-999.0,0
19490220,5,0.0,63.0,5.9,6.1,939.1,-999.0,-1.8,1.8,11.0,-999.0,0,0.0,-999.0,0
19490221,5,0.3,58.0,5.2,5.8,938.6,-999.0,-2.6,0.2,12.2,-999.0,0,0.0,-999.0,0
19490222,5,1.3,63.0,5.1,3.3,942.3,-999.0,0.4,-0.7,6.4,-999.0,1,1.7,-999.0,0
19490223,5,4.0,53.0,4.8,5.8,941.4,-999.0,-4.0,-0.7,9.7,-999.0,0,0.0,-999.0,0
19490224,5,7.0,91.0,7.5,4.0,939.8,-999.0,-0.4,2.3,5.6,-999.0,1,12.7,-999.0,0
19490225,5,7.3,79.0,5.3,0.9,941.1,-999.0,1.5,-0.1,4.7,-999.0,0,0.0,-999.0,0
19490226,5,1.3,70.0,4.5,1.2,935.1,-999.0,-6.0,-3.6,6.3,-999.0,7,0.2,-999.0,0
19490227,5,8.0,91.0,5.6,-0.2,925.2,-999.0,-3.2,-1.4,1.8,-999.0,8,9.2,-999.0,1
19490228,5,6.7,89.0,4.7,-2.2,931.2,-999.0,-5.8,-3.0,-0.6,-999.0,7,2.6,-999.0,9
19490301,5,8.0,89.0,4.5,-2.7,919.9,-999.0,-5.8,-3.8,0.1,-999.0,7,17.7,-999.0,14
19490302,5,7.0,90.0,3.5,-6.6,926.6,-999.0,-7.1,-8.4,-2.6,-999.0,7,5.4,-999.0,28
19490303,5,5.7,82.0,2.7,-8.8,929.5,-999.0,-13.0,-11.6,-5.0,-999.0,7,2.4,-999.0,32
19490304,5,2.3,78.0,2.3,-10.1,933.0,-999.0,-20.1,-12.1,-3.8,-999.0,7,0.0,-999.0,36
19490305,5,1.0,79.0,2.1,-10.8,927.2,-999.0,-24.0,-14.2,-5.2,-999.0,0,0.0,-999.0,36
19490306,5,7.0,72.0,2.1,-9.3,924.0,-999.0,-21.5,-13.1,-4.5,-999.0,7,0.0,-999.0,35
19490307,5,3.3,80.0,2.5,-8.5,922.3,-999.0,-19.1,-12.9,-3.9,-999.0,7,0.0,-999.0,30
19490308,5,4.7,77.0,3.1,-5.6,921.0,-999.0,-19.5,-11.9,-1.0,-999.0,0,0.0,-999.0,30
19490309,5,7.7,85.0,4.9,-0.6,919.6,-999.0,-7.6,-6.7,2.4,-999.0,8,5.5,-999.0,28
19490310,5,8.0,90.0,7.2,3.7,923.2,-999.0,-0.8,-0.1,5.4,-999.0,1,1.8,-999.0,22
19490311,5,8.0,94.0,7.3,3.4,922.3,-999.0,-0.3,2.5,5.2,-999.0,0,0.0,-999.0,16
